id,channel,text,kein_Geschwurbel,Coronaverharmlosung,Impfung_ist_gefährlich,Maßnahmenkritik,alternative_Gegenmittel,Coronaverschwörung,QAnon,sonstige_Verschwörung,GMF,Indoktrination,Staat_als_Gegner,Pseudowissenschaft,Schlafschafe,Millenarismus,sonstiges_Geschwurbel
24,wir_sind_viel_mehr,"Ich weiß, ganz Traurig das ganze mein Bass Mann Arbeitet in einem Pflegeheim, er sagt mir auch das ist so traurig ist dass diese ganzen alten Leute auf sparflamme leben müssen und auf vieles verzichten müssen während Ali und bimbo hier mordet und SE sich auch noch nachträglich im Knast gut gehen lässt es ist unglaublich abschieben sofort und nicht mehr in diesem Land hier reinlassen biometrisch erfassen und weg damit.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,evahermanoffiziell,"""Die Nachricht der Woche waren der Iran-Konflikt und der Abschuss des ukrainischen Verkehrsflugzeuges nach dem Start in Teheran. Doch weit über dieses dominierende Thema hinaus machte die Woche klar, dass wir nicht nur in unruhigen, ja gefährlichen Zeiten leben, sondern vor allem, dass führende Politiker wie im Koksrausch erscheinen und in ideologische Raserei verfallen. Saskia Esken will den Sozialismus. Die CDU schmiegt sich an die Linke an. Und mitten im Umwelt- und Klimawahn tauchen die ersten Bilder und Berichte von Einzelhändlern auf, die belegen, was für ein ausgemachter Unsinn es ist, dem Handel Bons vorzuschreiben, die auf umweltbelastendem Thermopapier ausgedruckt werden. Was für eine Zeit verlogener Politik, ideologische Verwirrung und verantwortungslosem Treiben! Dieser Wochenrückblick ist alles andere als vollständig. Aber schon seine kleine Auswahl an Schamlosigkeiten, Frechheiten, skurrilen Behauptungen und erschreckenden Offenbarungen lässt eines unzweifelhaft erahnen: All die schönen Vorsätze - und viele leise politische Hoffnungen - haben sich bereits nach wenigen Tagen komplett in Luft aufgelöst ... """,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,alternativemedien,"Mutmaßlich rechte Pöbler haben am Samstag eine Veranstaltung im Dresdner Kabarett „Die Herkuleskeule” kurz nach Beginn massiv gestört. Aus einer Zuschauergruppe von rund 15 Personen rief man ausländerfeindliche und verachtende Parolen, wie die Polizei am Sonntag mitteilte. Zudem wurde ein Darsteller verletzt. Die Aufführung musste unterbrochen werden. Zwei Schauspieler hätten die Gruppe zur Rede gestellt. Dabei sei […]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,martinsellnerib,"Danke an alle die heute da waren und linkem Terror getrotzt haben. Gute Besserung an alle die attackiert wurden. Nicht nur Gasthörer und Studenten wurden gewaltsam am Betreten des Hörsaals 50 gehindert. Sogar der Proessor selbst wurde am Eintreten gehindert. Teilweise wurden friedliche Studenten verletzt. Gegenstände flogen durch die Gänge der Uni. Zeitgleich organisierten patriotische Studenten eine spontane Kundgebung vor dem Büro der linksextrem dominierten ÖH. Wir stellen fest, dass die Uni Wien die Freiheit der Lehre nicht sicherstellen will. Kurz - wir leben in einer Demokratsimulation...",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
30,uncut_news,"Gold als Rettungsanker – Die Länder mit der höchsten Inflation! #Geld #Geldsystem #Schuldgeld #Kapitalismus #Kryptowährungen #Blockchain #Gold #Edelmetalle In den großen Industrienationen verharren die offiziellen Inflationsraten auf niedrigem Niveau․ In vielen Schwellenländern wird Gold dagegen dringend als Inflationsschutz benötigt․ Inflation, die klassische Form der Geldentwertung bedroht nach wie",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,epochtimesde,+++ Epoch Times wünscht Ihnen einen schönen Samstagabend! +++ Hier für Sie eine aktuelle Auswahl an Nachrichten und Kommentaren aus unserer Redaktion +++ Top-Thema... „Meinung im Sinne Chinas machen“: Journalistisches Projekt offenbar gescheitert https://www.epochtimes.de/china/china-politik/meinung-im-sinne-chinas-machen-journalistisches-projekt-offenbar-gescheitert-a3127970.html Nachrichten aus Deutschland... Demo zur Grünen Woche: Traktoren rollen durch die Hauptstadt https://www.epochtimes.de/politik/deutschland/demo-zur-gruenen-woche-traktoren-rollen-durch-die-hauptstadt-a3128695.html Einig mit Kanzlerin: Seehofer gegen Ausschluss von Huawei bei 5G-Netz-Ausbau in Deutschland https://www.epochtimes.de/politik/deutschland/einig-mit-kanzlerin-seehofer-gegen-ausschluss-von-huawei-bei-5g-netz-ausbau-in-deutschland-a3128567.html Gauck: CDU soll eine Ramelow-Regierung in Thüringen „begrenzt dulden“ https://www.epochtimes.de/politik/deutschland/gauck-cdu-soll-eine-ramelow-regierung-in-thueringen-begrenzt-dulden-a3128453.html Jeder fünfte Hartz-IV-Empfänger leidet unter scharfen Sanktionen der Jobcenter https://www.epochtimes.de/politik/deutschland/jeder-fuenfte-hartz-iv-empfaenger-leidet-unter-scharfen-sanktionen-der-jobcenter-a3128506.html Bundestags-Abgeordnete der Linken fehlten 2019 im Bundestag am häufigsten https://www.epochtimes.de/politik/deutschland/bundestags-abgeordnete-der-linken-fehlten-2019-im-bundestag-am-haeufigsten-a3128456.html VW-Chef Diess warnt Autobranche vor Stillstand: „Der Sturm geht jetzt erst los“ https://www.epochtimes.de/wirtschaft/unternehmen/vw-chef-diess-warnt-autobranche-vor-stillstand-der-sturm-geht-jetzt-erst-los-a3128657.html Die Auslandsnachrichten... Neue Proteste im Irak: Ein Mann von Sicherheitskräften getötet – 24 Menschen verletzt https://www.epochtimes.de/politik/welt/neue-proteste-im-irak-ein-mann-von-sicherheitskraeften-getoetet-24-menschen-verletzt-a3128437.html Chamenei wirft Europa „Feigheit“ vor – Trump: Chamenei soll “ sehr vorsichtig mit seinen Worten“ sein https://www.epochtimes.de/politik/welt/chamenei-wirft-europa-feigheit-vor-trump-chamenei-soll-sehr-vorsichtig-mit-seinen-worten-sein-a3128441.html Prinzessin Béatrice von „fantastischer Energie“ von Shen Yun „emporgehoben“ https://www.epochtimes.de/feuilleton/kultur/prinzessin-beatrice-von-fantastischer-energie-von-shen-yun-emporgehoben-a3127508.html Bundesbank-Vorstand Balz: Europäer brauchen gemeinsamen Online-Bezahldienst https://www.epochtimes.de/politik/europa/bundesbank-vorstand-balz-europaeer-brauchen-neuen-bezahldienst-a3128447.html Brexit lässt Großbritannien in Afrika durchstarten – dies könnte Einwanderungsdruck mindern https://www.epochtimes.de/politik/europa/brexit-laesst-grossbritannien-in-afrika-durchstarten-dies-koennte-einwanderungsdruck-mindern-a3128142.html Rund 30 Demonstranten wollen Macron bei privatem Theaterbesuch in Paris stören https://www.epochtimes.de/politik/europa/rund-30-demonstranten-wollen-macron-bei-privatem-theaterbesuch-in-paris-stoeren-a3128472.html Libysches Öl-Unternehmen warnt vor Berliner Konferenz vor Export-Blockade https://www.epochtimes.de/politik/welt/libysches-oel-unternehmen-warnt-vor-berliner-konferenz-vor-export-blockade-a3128611.html Nach Flugzeugabschuss: Iran schickt Flugschreiber an die Ukraine https://www.epochtimes.de/politik/welt/nach-flugzeugabschuss-iran-schickt-flugschreiber-an-die-ukraine-a3128872.html Eine Auswahl an Kommentaren unserer Autoren und Gastautoren... Goethe-Uni Frankfurt: Kopftuch-Debatte von Prügelei überschattet – Vorwürfe gegen „identitäre Linke“ https://www.epochtimes.de/politik/deutschland/goethe-uni-frankfurt-kopftuch-debatte-von-pruegelei-ueberschattet-vorwuerfe-gegen-identitaere-linke-a3128726.html Mehr aktuelle Nachrichten auf www.epochtimes.de Viele Grüße Ihre Epoch Times Redaktion🗞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,truelife18,"‼ Netzfund ‼ Part 2 Denn nach glühenden Drähten und genauerer Durchsicht der Verbindungen zur linksfaschistischen Szene, erscheint das Ganze nun doch irgendwie eher an ein Kasperletheater zu erinnern, als an Sorge um die Kinder. Auffälligkeit 1: Der Vorsitzende des Kinderschutzbundes Zwickau (Sebastian Dietsch) ist gleichzeitig auch Vorstandsmitglied im linksextremen Gasometer... Damit zusammenhängend erreichten uns Hinweise darauf, daß die Kinder, die sich vertrauensvoll an die Hotline der Kinderhilfe wandten, dementsprechend auch gleich mal zu ""Veranstaltungen"" in diesem roten Turm der ""Demokratieförderung"" eingeladen worden sein sollen. Darin verwickelt sind laut Aussagen auch die ""Demokraten"" Wetzel, Banitz (!) und sonstige Konsorten des linksfaschistischen Gesinnungsapparates rund um das ""Demokratie"" Bündnis Zwickau. Nicht nur darüber soll es inzwischen massenhaft Beschwerden gegeben haben. Eine Leserin schrieb uns sogar ziemlich erbost: ""Das Sorgentelefon ist der letzte (linke) Dreck und muss unbedingt weg !"" Natürlich ist Kinderschutz eine wichtige Sache. Wenn er aber zur Rekrutierung des linksextremen Nachwuchses mißbraucht wird, hat er jede legitimation nicht nur in Zwickau verloren... Und was die verlorene Förderung betrifft: Da kann sich der Kinderschutzbund gerne an die Linksextremisten des Gasometers wenden. Herr Sebastian Dietsch wird da sicher einiges vermitteln können, um von den 740.000 Zwickauer Euros an den Linksfaschismus in Richtung seines Vereins zu bewegen... #Zwickau #Kinderschutz #Linksfaschismus #Grüne #Demokratiebündnis @TrueLife18",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,schrangtv,"Heiko Schrang bashing durch „Zeit Online“: Meditieren, heilen, Juden hassen Spätesten jetzt ist klar, dass ich auf Grund der großen Reichweite zu einer ernsten Gefahr für die gleichgeschalteten Medien geworden bin. Auch diese Rufmordkampagne wird dazu beitragen, dass noch mehr Menschen sich für meine Videos und Bücher interessieren werden. Vorab ein Dank an alle die mich und meine Arbeit unterstützen. Hier ein Ausschnitt aus dem Artikel von Zeit Online: Heiko Schrang hat es mit seinem zweigeteilten Weltbild geschafft, bis in die gesellschaftliche Mitte vorzudringen. ""Sei heute einfach du selbst"", sagt der Mann mit sonnenbankgebräunter Glatze und beseeltem Lächeln auf seinem YouTube-Kanal, während er in einem lichtdurchfluteten Raum unter einem Buddha-Gemälde sitzt. ""Haltet bitte eure Hand jetzt mal auf euer Herz. Fragt euch: Wann habt ihr das letzte Mal mit diesem Herz, mit eurem Herz Kontakt aufgenommen?"" Seine Thesen fallen auf fruchtbaren Boden. Kanäle wie der von Schrang schaffen es, eine Brücke zu schlagen zwischen dem Grundmisstrauen der gesellschaftlichen Mitte und rechtsextremen Positionen. Einerseits treten in seinem Kanal die Rechtsaußen-CDU-Politiker Max Otte und Vera Lengsfeld auf sowie Aktivisten wie Martin Sellner. Sellner ist einer der Köpfe der rechtsradikalen Identitären Bewegung. Andererseits lädt Schrang Unterhaltungsgrößen wie die Kabarettistinnen Sissi Perlinger und Lisa Fitz in seine Show, um mit ihnen über Reinkarnation und Angela Merkels Migrationspolitik zu sprechen. Sie sind es, die seine Verschwörungstheorien bis in den von Schrang so verschrienen ""medialen Mainstream"" tragen. Fitz behauptete im Juli im Kölner Treff im SWR, dass die Rothschild-Bank 130 Zentralbanken auf der ganzen Welt besitze. 2017 veröffentlichte sie auf Schrang.TV das Lied Ich sehe was, was du nicht siehst, in dem sie singt: ""Der Schattenstaat, die Schurkenbank, der Gierkonzern, Wer nennt die Namen und die Sünden dieser feinen Herrn. Die Rothschilds, Rockefeller, Soros &amp; Konsorten, die auf dem Scheißeberg des Teufels Dollars horten."" Einen antisemitischen Code reiht sie an den nächsten. Esoterik wird zum trojanischen Pferd für Rechtsextremismus, Verschwörungsglauben und Antisemitismus. Das Wut- und Hasspotenzial in dieser Szene ist erschreckend."" Zeitonline schreibt: Denn Verschwörungstheorien sind längst kein gesellschaftliches Randphänomen mehr. Laut einer Studie der SPD-nahen Friedrich-Ebert-Stiftung glaubt fast jeder zweite Deutsche, es gebe geheime Organisationen, die Einfluss auf die Politik nähmen. Immerhin knapp jeder Dritte glaubt, Politiker und andere Führungspersönlichkeiten seien Marionetten von dahinterstehenden Kräften. Die gleichgeschalteten Medien sollten sich mal fragen, warum jeder dritte Deutsche glaubt, dass Politiker Marionetten sind? P.S Die kritischen Kommentare unter dem Artikel von Zeit Online werden sofort gelöscht. Hier der komplette Artikel: https://www.zeit.de/gesellschaft/2020-01/rechte-esoterik-kla-tv-verschwoerungstheorien-verfassungsschutz",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,nachrichtvonmueller,"Das wird ja immer besser 😄 😄 😄 Danke an Wolfgang für den Hinweis! „Werner Vogel (* 8. Oktober 1907 in Offenbach am Main; † 26. November 1992 in Mettmann) war ein deutscher Politiker der Grünen Vogel war in der Zeit des Nationalsozialismus bereits sehr früh ein aktives Mitglied der SA und wurde 1938 auch Mitglied der NSDAP, deren Mitgliedschaft er 1933 beantragt hatte. 1938 kam er als Beamter ins Berliner Reichsministerium des Inneren. 1939 wurde er als Leutnant eingezogen und kam an die Ostfront, wo er 1945 in sowjetische Kriegsgefangenschaft geriet.[3] 1953 kehrte Vogel aus der sowjetischen Kriegsgefangenschaft zurück. Er wurde 1954 Beamter im Düsseldorfer Innenministerium und ging 1972 als Ministerialrat in Pension. Nach seiner Pensionierung wurde er frühes Mitglied der 1980 gegründeten Partei Die Grünen. Bereits im Gründungsjahr der Bundespartei kandidierte er bei der Landtagswahl in Nordrhein-Westfalen 1980 und der Bundestagswahl 1980. In einem Wahlwerbespot spielte er einen Großvater, der seiner Enkelin tote Fische am Rheinufer damit erklärt, dass „die Industrie das Rheinwasser vergiftet hat.“[4] Die Grünen verfehlten den Einzug in beide Parlamente; Vogel wurde jedoch in den Landesvorstand der NRW-Grünen gewählt. Vogel unterstützte gegenüber dem Bundesvorstand der Grünen Forderungen der Gruppen Indianerkommune Nürnberg und „Kinderfrühling Wiesbaden“ nach Beseitigung der Kinderschutzgesetze und nach Legalisierung der Päderastie. [5][6] Am 24. und 25. September 1983 wurde im Emmaus-Zentrum auf dem Dachsberg in Kamp-Lintfort ein Kinder- und Jugendkongress ausgerichtet, bei dem es besonders um das Thema Sex mit Kindern ging. Organisiert wurde der Kongress von Vogel .[7][8] Nach Informationen der Welt und des Bayernkuriers wurde dieser Kongress vom Grünen-Parteivorstand NRW finanziert.[7][8] In der Untersuchung von Franz Walter über Die Grünen und die Pädosexualität wird Werner Vogel irrtümlich als „Wolf Vogel“ dargestellt.“ https://de.wikipedia.org/wiki/Werner_Vogel_(Politiker) Wikipedia Werner Vogel (Politiker) deutscher Politiker der Grünen",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,uncutnewsschweiz,"Die kapieren scheinbar nicht, dass Pflanzen, mittels Photosynthese, daraus unseren Sauerstoff machen....EUGH hat eine co2 Steuer eigentlich als nicht ""legal"" beurteilt....Aber wenns um Geld geht, kennt der Staat kein Recht und halten mehr....irgendwoher muß die Kohle für den gewaltigen Irrsinn unserer Politiker ja kommen... Plündern wir mal weiter den Mittelstand aus.... Muß aufhören, sonst bekomm ich noch orale diaröh....",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
