channel,id,datetime,text,Suggestivität,Absolutheitsanspruch und Umgang mit Quellen,Emotionalität,Auffälligkeit der Argumentation,Komplexitätsreduktion,Entfernung von Wirklichkeit,Gesamtschwurbeligkeit
wolfgangwodarg,38,2020-04-19T03:49:23Z,"Shocking censorship by Vimeo. Statement and a piece out of the important and very actual documentary trustWHO. ""Is the WHO sick? The filmmaker and mother Lilian Franck reveals clandestine influences by the tobacco, pharmaceutical and nuclear industries on the organization. She shows a frightening portrayal of our present society, in which governmental politics is becoming obsolete."" https://www.youtube.com/watch?v=9MvB5hoIQok

Media
A few days ago, Vimeo deleted our Documentary Feature “trustWHO”, directed by Lilian Franck, from their platform, stating that they do not support “Videos th...

(Feed generated with FetchRSS)

via Dr. Wolfgang Wodarg on Facebook https://ift.tt/3cuWbwp

@WolfgangWodarg",3.4,3.6,2.2,2,2.6,2.4,2.8
alternativemedien,57466,2020-04-27T12:34:29Z,"Düsseldorf – Der Ministerpräsident von Nordrhein-Westfalen, Armin Laschet (CDU), hat Bundestagspräsident Wolfgang Schäuble (CDU) in seiner Aussage beigepflichtet, man dürfe nicht allein den Virologen die Entscheidungen überlassen. „Ich stimme mit ihm da vollkommen überein. In meinem Expertenrat sind beispielsweise auch Mediziner, aber da sind auch Ethiker drin, Frauen, die sich in der Sozialarbeit engagieren, Human-Mediziner, […]",2,2.3333333333333335,1,1,1.6666666666666667,1,1
oliverjanich,25860,2020-05-12T18:05:56Z,"""Immerhin wollen viele Regierungen Telegram nicht komplett den Verschwörungstheoretikern überlassen und haben eigene, offizielle Angebote gestartet.

„Es gibt in Deutschland seit Anfang April den Corona-Info-Kanal des Bundesministeriums für Gesundheit. Der hat auch schon mehrere hunderttausend Follower, ist also noch deutlich größer als die größten Kanäle, in denen Verschwörungstheorien und Falschinformationen zu Corona verbreitet werden. Doch dass man damit tatsächlich auch die Leute erreicht, die den offiziellen Meldungen skeptisch gegenüber stehen, glaubt Guhl nicht.“"" 😂😂😂",2.1666666666666665,2,2.1666666666666665,1.8333333333333333,2.1666666666666665,1.3333333333333333,1.6666666666666667
qlobalchange,13260,2020-05-13T14:52:36Z,"X-22 Report vom 12.5.2020 - Regen kommt - Ziele gesichert - Deklassifizierung der Obama-Beamten, die Flynn bloßstellten - Schmerz - Episode 2172

Übersetzung von Dirk Dietrich*

Die Deep-State-Spieler, die Massenmedien, Leute wie Soros und die der ehemaligen Obama-Regierung, ihnen schwimmen ihre Felle davon. Ihr Corona-Experiment ist gescheitert und ihre Machenschaften kommen jetzt ans Licht. Jeden Tag werden neue Informationen freigegeben und sie kommen aus dieser Nummer nicht mehr raus.

https://qlobal-change.blogspot.com/2020/05/x-22-report-vom-1252020-regen-kommt.html",4,5,2.2,4.2,4.6,4.6,4.8
unzensiert,23317,2020-05-16T14:53:25Z,"#netzfund

⚠ Antifa verübt Brandanschlag ⚠

Die von Steuergeldern (45,- € pro Stunde inkl. Spesen pro Person) finanzierte BRiD Schlägertruppe Antifa hat heute einen Brandanschlag auf einen DEMO LKW für die Anti Corona Demo auf der Cannstatter Wasen mit einer Schadenhöhe von 200.000 € verübt.

Die BRD Faschisten Firma Antifa, ist eine weltweit operierende kriminelle Terrorgruppe mit dem Decknamen Sonnenstaatland oder auch BRiD Verfassungsschutz mit ihrem Hauptsitz in der Lennestraße 7 – 10785 Berlin. Weitere Zweigstellen der Partnerunternehmen ist die Firma/Partei die Linke mit vielen Niederlassungen in der gesamten BRiD.

@unzensiert",3.2,4,1.8,2.4,3.2,4.2,4
freiheitdergedanken,277,2020-05-16T20:32:37Z,"g treten.

Auch im Zusammenhang mit Schizophrenie hätten sich bereits positive Effekte gezeigt. Da man ferner weiss, dass die Cannabinoidrezeptoren und ihre Aktivität am Vergessen schlimmer Erlebnisse beteiligt sind, wird Cannabidiol auch bei Angststörungen oder anderen traumatischen Störungen empfohlen.

✅ Hier findest du 100% natürliches Cannabisöl. Es ist EU-zertifiziert! Frei von weiteren Zusatzstoffen! Vegan und vegetarisch! Dieses Cannabisöl ist im Hinblick auf seinen natürlichen CBD-Gehalt hochdosiert. Es ist extrem beliebt und wirkungsvoll, es hat bei 28 Kundenbewertungen 4,9 von 5 Sternen. Besser geht es eigentlich nicht.

Hier findest du Reines CBD Cannabis-Öl 5%: https://bit.ly/2TkRNI2
Hier findest du Reines CBD Cannabis-Öl 10%: https://bit.ly/2YXNKT8
SPAREN im Vorteilspack: 6x Reines CBD Cannabis-Öl 10%: https://bit.ly/2mzunCx

NEU: Stärker, schneller, länger. Das einzigartige liposomale CBD: https://bit.ly/2Kz3PJX

CBD-Breath für E-Zigarette oder Vaporisierer: https://bit.ly/2TjD7Zz
E-Zigarette: https://bit.ly/2Mae5eS
CBD-Hundekekse für unsere Liebsten: https://bit.ly/2ZGAm77
CBD BREITBANDBALSAM FÜR DIE PROBLEMHAUT: https://bit.ly/2YCnFxM

[1] https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4604191/
[2] https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2503660/
[3] https://www.ncbi.nlm.nih.gov/pubmed/21683763
[4] https://www.ncbi.nlm.nih.gov/pubmed/24494687
[5] https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4851925/
[6] https://www.ncbi.nlm.nih.gov/pubmed/28885454
[7] https://www.ncbi.nlm.nih.gov/books/NBK425767/
[8] https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3371734/
[9] https://www.ncbi.nlm.nih.gov/pubmed/22716160

#Hanf #Cannabis #marihuana #CBD #ÖL #Gesund #Gesundheit #Medizin #Krank #Krankheit #Krebs",2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.6666666666666665,2,2.3333333333333335
evahermanoffiziell,14923,2020-05-19T01:55:05Z,"Der Psychologe Prof. Dr. Dr. Harald Walach von der Universität Witten/Herdecke hat gemeinsam mit dem Mikrobiologen Prof. Dr. Sucharit Bhakdi, dem Immunologen Prof. Dr. Stefan Hockertz, dem Volkswirtschaftler Prof. Dr. Stefan Homburg und dem Betriebswirtschaftler Prof. Dr. Werner Müller eine Anfrage an die Fraktionen des Deutschen Bundestags gestellt. Anlass sind die Regierungsmaßnahmen zur Corona-Krise. In ihrer Anfrage bezweifeln die Professoren, ""dass es überhaupt eine besondere Bedrohung der Bevölkerung und selbst der Risikogruppen gibt"" (gesamter Text hier: https://harald-walach.de/2020/04/29/g...)
Eine Abwägung des Für und Wider der Regierungsmaßnahmen sei nie veröffentlicht worden. Hingegen seien durch Schließung von Kitas und Schulen psychische Schäden bei Kindern, Jugendlichen und Erwachsenen zu befürchten, die sich wirtschaftlich kaum quantifizieren ließen. Die Maßnahmen der Regierung erscheinen den fünf Professoren angesichts der enormen wirtschaftlichen und gesellschaftlichen Schäden, die sie verursachen, ""unverhältnismäßig"".

Im Interview mit Robert Fleischer erklärt Prof. Walach die Hintergründe.",2,2.5,1.3333333333333333,1.6666666666666667,2.8333333333333335,2.6666666666666665,2.5
expresszeitung,4666,2020-05-30T12:32:34Z,"Derek Chauvin, der Polizist, der vor wenigen Tagen einen Schwarzen während einer Festnahme erstickt hat, worauf dann Ausschreitungen folgten, ist angeblich seit 2001 bei der Polizei. Er hat sein Haus vor 3 Jahren im August 2017 gekauft.

Seine pensionierten Nachbarn von nebenan, die den ganzen Tag damit verbringen, Tee zu trinken, Kekse zu essen und aus dem Fenster zu schauen, behaupten, sie hätten ihn nie in Uniform gesehen und keiner kannte ihn.

Schon etwas merkwürdig..

https://youtu.be/DSSjrQm5e2Q

@ExpressZeitung (jg)",5,3.3333333333333335,2,3.3333333333333335,3.6666666666666665,2.3333333333333335,3
expresszeitung,4897,2020-06-12T19:54:18Z,"Enthüllt: Wie ein Künstler den Völkermord an den Weissen prophezeit

⭕️ Anschauen, bevor es auf Youtube gelöscht wird ‼️ 
https://youtu.be/leGdd22p700

Mit seinen Gemälden macht Cleon Peterson, ein angesehener, von der Kritik gelobter Künstler aus dem marxistischen Milieu, den sich anbahnenden Genozid an den Weissen zur Kunst. Der «politisch-korrekte» Zeitgeist, in dem das mahnende Ansprechen des forcierten Aussterbens der Weissen ein Tabu ist, macht es ihm möglich, als erster Künstler überhaupt, ein Riesengemälde unter dem Eiffelturm zu malen - Auf den ersten Blick harmlos kommt es daher. Doch bei näherer Betrachtung und im Kontext weiterer Bilder dieser Serie, lässt es sich als erste Stufe der Verdrängung der Weissen interpretieren.

Im Video zeigen wir nicht nur die grausamen Bilder Petersons, sondern setzen sie mitunter anhand einiger unserer Ausgaben in den politischen, medialen und gesellschaftlichen Zusammenhang.

Hier können Sie die entsprechenden Ausgaben probelesen und erwerben: 
www.expresszeitung.com?atid=313

Corona-Ausgabe kostenlos als PDF
PDF: https://t.me/ExpressZeitung/4322

⭕️ https://youtu.be/leGdd22p700",3.3333333333333335,3.3333333333333335,3,3,3,4.333333333333333,4.333333333333333
oliverjanich,28454,2020-06-17T17:04:45Z,"Am 11. Juni teilte Best den lokalen Nachrichtenagenturen mit: Die Notrufe hätten sich mehr als verdreifacht. Viele der Notrufe wie Vergewaltigungen, Raubüberfälle und alle Arten von Gewalttaten „haben in dem Gebiet stattgefunden, zu dem wir nicht gelangen“.

Einige lokale Geschäftsinhaber und Anwohner in der Gegend sagen, die Kriminalität habe stark zugenommen. Am Sonntagabend wurde in die Autowerkstatt Car Tender eingebrochen, was den Besitzer und ein Familienmitglied dazu veranlasste, einen Verdächtigen zu durchsuchen.

„CHOP-Besetzer eilten daraufhin herbei und drohten, den Ladenbesitzer zu töten“, sagte der Besitzer der Werkstatt der Epoch Times.""

https://www.epochtimes.de/politik/welt/seattle-ersetzt-barrikaden-der-aktivisten-durch-betonbarrieren-besetzer-drohen-ladenbesitzer-mit-dem-tod-a3268397.html?telegram=1",2.6666666666666665,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.3333333333333333,2.3333333333333335
evahermanoffiziell,21511,2020-07-20T21:33:32Z,"Wieder ein superspannendes Video von Rabbit Research über so manche Fake-Bilder und Fake-News, wie auch Deep Fakes, die in den Hauptnachrichtensendungen der Welt als Wahrheit verkauft werden.

Ein Must! für jeden Selbstdenker.

""Die TV-Nachrichten unter die Lupe genommen.
Werden wir komplett gesteuert und gelenkt? Wenn ja, wie und von wem? Und noch wichtiger: Warum? In dieser mehrteiligen Dokumentation finden wir es heraus.""

+++ Bitte teilen +++

https://www.youtube.com/watch?v=oIYY8CCipmE&feature=youtu.be",3.8333333333333335,4.166666666666667,2.1666666666666665,2.3333333333333335,3.5,4,4
haintz,101,2020-08-03T22:46:33Z,"Satire:

Spontane BLM Demo in Berlin.

Der Mann im blauen Shirt erstattete Selbstanzeuge wegen Verstoß gehen das Abstandsgebot.

Polizei lehnt Aufnahme der Anzeige ab, laut Politik und Presse seien solche Demos nicht gefährlich.

Ernst:
Black lives matter.
All lives matter.

Schluss mit Spaltung.
Schließt euch an.

@ Massenmedien/Politik 
Wir zwingen euch dazu, immer dreister zu lügen.

@Pressevertreter 
Berufsethos?

@Bürger in Uniform 
Schließt euch an, verweigert den Befehl.",4,3.3333333333333335,3,4.333333333333333,4,3.3333333333333335,3.6666666666666665
kulturstudio,7635,2020-08-04T10:16:32Z,"In der wahren Welt zählt das Erreichte und es reicht nicht das Erzählte. 
Mehrere hunderttausend Menschen, die vor Ort waren und mit eigenen Augen alles sehen konnten, kann man nicht mir erfundenen Zahlen belügen. 
Die ""Lügenpresse - Rufe "" werden immer lauter. Nun windet man sich mehrfach um die eigene Achse um nur nicht die Lüge auffliegen zu lassen.
Aber die Menschen im Land lassen sich einfach nicht mit mehr mit solch plumpen Lügen hinters Licht führen.
Schnell wird Herrn Gensings ARD ""FAKEN (ER) FINDER"" als einzig glaubwürdiger Leumund herbei gerufen. 
 Lügner unter sich. Die Wahrheit wird ans Licht kommen. (z)

https://www.welt.de/politik/deutschland/article212747299/Corona-Demo-Querdenken-Wie-viele-Teilnehmer-waren-es-wirklich.html",4,3.6666666666666665,3.3333333333333335,4,4,3.6666666666666665,4
efauf,43903,2020-08-11T15:10:48Z,"Ich bin weder links/rechts/Buddhist oder sonst was ..ich/wir sind alle Mensch ..ich brauche keine Symbole und auch keine Religion, lediglich meinen gesunden Menschenverstand /Gerechtigkeitssinn und Empathie... 
Ich wünsche mir einfach das alle anfangen die politischen Handlungen Weltweit zu hinterfragen in der Hoffnung dass Sie von selbst erkennen wie wir alle durch Propaganda/Fehlinformationen und verdrehte Geschichtsschreibung manipuliert und indoktriniert wurden und werden..
Bestes Beispiel meine Schwester heute..Trump zerstört Amerika🤦‍♀️
Herzlichen Glückwunsch an die Mainstream Medien... die meisten und da gehört einfach leider auch mein Umfeld dazu haben vertrauen in die Politik und an die Berichterstattung ..ich plediere immer nur das sie sich selbst mit allem auseinandersetzten und anfangen ihren eigenen Verstand zu benutzen🤷‍♀️",4.2,3.6,3,3.4,3.8,2.6,4
vaxxedchat,9074,2020-08-19T15:15:45Z,"Diese Prothesen, auch Exoskelett, hilft Personen mit ALS oder ähnlichen Krankheiten mal das Gefühl zu geben, laufen zu können. Der Körper wird in den Normalzustand gebracht, alles beansprucht und durcbewegt. Habe es bei einem Patienten mit erlebt. Er war überglücklich, der Kreislauf kam in Schwung und wurde warm. Er war happy dabei. Es gibt auch noch gute Verwendungen. Es wurde wohl entwickelt und schwerere Lasten zu heben. 👍",2,2.3333333333333335,2,1.3333333333333333,1.6666666666666667,1,1.6666666666666667
kulturstudio,8024,2020-08-26T08:38:33Z,"Auch hier: Satans Handlanger am wirken. 
„Klare, ungehinderte Bilder von den Sternen über uns werden ""nicht mehr die Norm sein"", warnte eine Gruppe von US-Wissenschaftlern dank Elon Musks Netzwerk von Starlink-Satelliten. Doch Musk ist nicht der einzige Geschäftsmann, der den Himmel auslöschen könnte.
Musk startete sein Starlink-Projekt im vergangenen Jahr mit einem ehrgeizigen Ziel: Er wollte einen Hochgeschwindigkeits-Internetzugang in die entlegensten Winkel unseres Planeten bringen und Zehntausende von Satelliten im erdnahen Orbit (LEOsats) einsetzen, um eine flächendeckende Abdeckung zu gewährleisten. Zu diesem Zweck hat er bereits mehrere Hundert dieser Geräte in den Orbit geschossen, wobei beim letzten Start - vor drei Wochen - weitere 60 in den Himmel geschossen wurden.

Wissenschaftler haben Musk bereits davor gewarnt, dass diese Satelliten ihre Sicht auf den Himmel beeinträchtigt und ihre Forschung behindert haben. Nach einem neuen Bericht von mehr als 250 Wissenschaftlern, Astronomen, Ingenieuren und anderen Sternguckern wird diese Veränderung jedoch wahrscheinlich von Dauer sein. „

„Night sky ‘no longer the norm’: Scientists say Elon Musk's satellite network will permanently mar our view of the stars“
https://www.rt.com/news/499033-elon-musk-starlink-report/",4,4,2,2.3333333333333335,3.3333333333333335,3,3.3333333333333335
